pgrid 	 psihatexact+_real 	 psihatexact+_imag 	              psihatguess+_real 	 psihatguess+_imag 
-8.462934040740582020e+01	-1.040046334944777407e-14	5.417934332362425490e-14	-1.107206381057153691e-13	-7.901198706739002489e-14
-8.461886907105251510e+01	-4.950213752314792481e-14	2.769996912295802063e-14	-1.233230449155764019e-14	-1.332718839837090107e-13
-8.460839773469920999e+01	-5.198769860856596815e-14	-2.149386214197403978e-14	9.264389188071284943e-14	-9.659698577988748615e-14
-8.459792639834590489e+01	-2.095675193781949462e-14	-5.428661564467842338e-14	1.362296619403306509e-13	5.279961991389305093e-15
-8.458745506199259978e+01	2.688315123645618318e-14	-5.045316380872813425e-14	8.130783781338684401e-14	1.022582451142456178e-13
-8.457698372563929468e+01	5.468751920216887857e-14	-1.198383488809397364e-14	-2.217486239429439345e-14	1.312623844892424336e-13
-8.456651238928598957e+01	4.577824015551380140e-14	3.275832158027852460e-14	-1.120607904614139329e-13	7.234325364635049320e-14
-8.455604105293268447e+01	4.842756809980811362e-15	5.786700037269138447e-14	-1.281473792800469722e-13	-3.533614850283856133e-14
-8.454556971657937936e+01	-3.588420312210780620e-14	4.196280764399703635e-14	-6.588514829039168998e-14	-1.175559824744512506e-13
-8.453509838022607426e+01	-5.671934811208248797e-14	1.944279684172416446e-15	4.856343858831148226e-14	-1.249561301317324831e-13
-8.452462704387276915e+01	-4.046521357802662068e-14	-4.171828187933047600e-14	1.187040665933103411e-13	-5.505258684895135383e-14
-8.451415570751946404e+01	3.012293464913154354e-15	-5.666116443146408352e-14	1.222020299551407492e-13	5.399208540820745611e-14
-8.450368437116615894e+01	4.482532403200308281e-14	-3.666619125454612266e-14	4.301778137513061525e-14	1.226203953520949231e-13
-8.449321303481285383e+01	5.757277469954257118e-14	9.035693402242973815e-15	-5.820257180146854809e-14	1.188875900049142662e-13
-8.448274169845956294e+01	3.358954394873428884e-14	4.450025300327580320e-14	-1.265423745198615309e-13	3.933976764196320057e-14
-8.447227036210625783e+01	-9.632782696466915860e-15	5.687276159952343624e-14	-1.157244521365172308e-13	-6.065922509871286407e-14
-8.446179902575295273e+01	-4.836660225824832751e-14	3.277526910696848481e-14	-3.920382709411293459e-14	-1.293713385253475688e-13
-8.445132768939964762e+01	-5.592365600141267433e-14	-1.007655992629275351e-14	6.510817635667857364e-14	-1.145092364144266705e-13
-8.444085635304634252e+01	-3.106034800729872677e-14	-4.978525693576880933e-14	1.257046057600005688e-13	-3.743605411162847537e-14
-8.443038501669303741e+01	1.170132442871144441e-14	-5.704549393123309930e-14	1.192725016085574466e-13	6.413328454970873745e-14
-8.441991368033973231e+01	4.797544085678877275e-14	-3.274486411144613765e-14	3.923034118703009387e-14	1.264709660066424416e-13
-8.440944234398642720e+01	5.745001443814463827e-14	1.419371210812983765e-14	-5.792246736767700969e-14	1.182799685475609837e-13
-8.439897100763312210e+01	3.211278524964195516e-14	4.868535757541116928e-14	-1.271067171828440029e-13	4.149019338392913473e-14
-8.438849967127981699e+01	-1.121924704619672642e-14	5.812765523463410504e-14	-1.180327582923097186e-13	-5.675397196217816719e-14
-8.437802833492651189e+01	-4.847896555935511150e-14	3.386352752793714875e-14	-5.050014956180422988e-14	-1.211516165083788538e-13
-8.436755699857320678e+01	-5.788939538296733969e-14	-6.672765151278999752e-15	4.868232777040342620e-14	-1.206216247539737202e-13
-8.435708566221990168e+01	-3.800183802402313638e-14	-4.697626351752173627e-14	1.152078502703499697e-13	-5.640861681567846467e-14
-8.434661432586659657e+01	2.668722298619341250e-15	-5.850024826675049683e-14	1.280980131802979363e-13	4.066304640426164217e-14
-8.433614298951329147e+01	4.254690923701637689e-14	-4.305100050911143490e-14	6.523203297970745263e-14	1.135598394990158091e-13
-8.432567165315998636e+01	6.052962736255896331e-14	-4.779752048956530333e-16	-2.462737865507495213e-14	1.291604938654311604e-13
-8.431520031680668126e+01	4.310857930698172726e-14	4.021286870362311590e-14	-1.057770110771669607e-13	7.690728605891785649e-14
-8.430472898045337615e+01	6.161230971193271981e-15	5.889965098425595184e-14	-1.281320096419975379e-13	-1.280878128886478302e-14
-8.429425764410007105e+01	-3.566669611836304049e-14	4.831056569591630731e-14	-9.255978379862589892e-14	-9.431084677270636237e-14
-8.428378630774678015e+01	-5.703317244503577341e-14	1.397824512057225034e-14	-2.138628307614281208e-15	-1.310032660331343061e-13
-8.427331497139347505e+01	-5.269224805841299784e-14	-2.936098957732698815e-14	8.068259221278263606e-14	-1.006092542157900940e-13
-8.426284363504016994e+01	-2.289145742203824017e-14	-5.499600835139699057e-14	1.309869740937510646e-13	-2.299442428233895389e-14
-8.425237229868686484e+01	2.139871035296351309e-14	-5.709379803078875886e-14	1.127801513319785985e-13	6.768703912645161022e-14
-8.424190096233355973e+01	5.294156513237693910e-14	-2.834624869253045960e-14	4.564820531242013960e-14	1.238726638564583459e-13
-8.423142962598025463e+01	5.899598550530835984e-14	1.195402694905022692e-14	-4.850100477099926171e-14	1.232254154953168209e-13
-8.422095828962694952e+01	3.795744302888006797e-14	4.864934212771753176e-14	-1.109096026037194664e-13	6.344559843970577464e-14
-8.421048695327364442e+01	-3.512999361829015234e-15	6.058510969109440778e-14	-1.304701969634818057e-13	-2.089468246065795979e-14
-8.420001561692033931e+01	-4.042982231330433627e-14	4.744457048079052862e-14	-8.392604549004125338e-14	-9.651801590136919353e-14
-8.418954428056703421e+01	-5.931566781698258229e-14	9.696848654755540711e-15	-6.599413973317073095e-15	-1.291172187472406722e-13
-8.417907294421372910e+01	-5.330848799300808258e-14	-2.955618689342836358e-14	7.865433697748948783e-14	-1.040215341179473362e-13
