xgrid 	 psiboa+_real 	 psiboa+_imag 	              psiexact+_real 	 psiexact+_imag 	              pgrid 	 psihatboa+_real 	 psiboa+_imag 	              psihatexact+_real 	 psihatexact+_imag 
-2.972166269913935110e+01	7.409323514121360041e-15	-1.413053592268894618e-15	-2.151057649012816465e-14	6.127488890159337343e-14	-8.498536584341816535e+01	-5.595228665998048820e-17	9.125272069487662791e-17	-1.399976921951455792e-13	-1.049468722396606117e-14
-2.971800036623329078e+01	7.087474941710494071e-15	5.704866946452763980e-16	-1.503988285521926352e-14	-3.134865189738624503e-14	-8.497489450706486025e+01	2.447377834123760263e-16	-7.442530996283475593e-17	-5.731652112804976126e-14	1.036100538156270785e-13
-2.971433803332723045e+01	5.884008493012444646e-15	2.134506687356467402e-15	-4.563566638799780253e-14	2.344655698765508913e-15	-8.496442317071155514e+01	-1.462368778164942798e-16	1.815097268608104532e-16	4.821637002510213361e-14	1.120608072905266964e-13
-2.971067570042116657e+01	5.646465464231691735e-15	2.072529466355879799e-15	-6.738596194371429338e-14	-2.481991798005836385e-14	-8.495395183435825004e+01	3.561102632087371135e-17	-1.552240191210968859e-16	1.365585272126770461e-13	-6.835469264114614028e-15
-2.970701336751510624e+01	4.718792944985547051e-15	3.607177969512752908e-15	-4.383629282489742609e-14	3.204432506750499141e-14	-8.494348049800494493e+01	-1.103118290642064568e-16	5.695089118223308216e-17	4.027389806673060254e-14	-1.111096903325773947e-13
-2.970335103460904591e+01	3.993425801920006837e-15	3.838665711124389972e-15	-5.259004874674024897e-14	-9.509070716990186477e-14	-8.493300916165163983e+01	2.855565937079248430e-16	3.571193282170590772e-16	-6.575641877285935091e-14	-9.804393249334294794e-14
-2.969968870170298558e+01	1.876148942080471661e-15	4.581630514569895845e-15	-4.587349750588766898e-14	9.319548633111390310e-14	-8.492253782529833472e+01	2.555981987921954176e-17	3.179422315479641535e-17	-1.287369148402371844e-13	2.802539773079984678e-14
-2.969602636879692525e+01	9.095221807655928984e-16	4.372033612903271126e-15	-1.092287100301248916e-14	-4.286619561692427379e-14	-8.491206648894502962e+01	1.662559424635878861e-16	1.130854046046423583e-16	-1.714085267707234269e-14	1.163123215664401125e-13
-2.969236403589086137e+01	-1.204141845988970208e-15	4.769546640314988393e-15	-2.344369177720578546e-14	-1.277613901486474699e-14	-8.490159515259172451e+01	1.351911214781536647e-16	1.608563368259346290e-17	8.154133557999726248e-14	7.730356334908524321e-14
-2.968870170298480105e+01	-1.705687267076287240e-15	4.299730961657732009e-15	-5.192097298054624469e-14	-5.713508268545889717e-14	-8.489112381623841941e+01	1.413774067739479191e-16	6.057861125729287125e-18	1.161595889911179047e-13	-5.208642456640908031e-14
-2.968503937007874072e+01	-3.533248174245771969e-15	4.229211796984156772e-15	-6.609204718883991190e-14	2.895651018331819273e-14	-8.488065247988512851e+01	1.210842387552148768e-16	2.169881905395878181e-16	-9.914511859425597946e-15	-1.143795635868218866e-13
-2.968137703717268039e+01	-3.891479515256685840e-15	2.562474669727680040e-15	-1.644679812830660839e-14	-6.126714144336041885e-14	-8.487018114353182341e+01	3.718348109647161853e-16	1.796976407352734578e-16	-9.444431845235920192e-14	-4.785574409655383602e-14
